id,observed_on,latitude,longitude,place_state_name,place_country_name
4039565,2016-09-04,41.17654206,-73.5996701,New York,United States
4039566,2016-09-04,41.18204071,-73.59630824,New York,United States
4039979,2016-09-05,35.8894708939,-79.0447679815,North Carolina,United States
4041214,2016-09-04,40.610775,-80.0061416667,Pennsylvania,United States
4063506,2016-09-05,40.4289735714,-79.9125414715,Pennsylvania,United States
4066573,2016-09-08,41.29152897,-73.59878443,New York,United States
4066576,2016-09-08,41.29132966,-73.59877786,New York,United States
4072955,2016-09-09,40.94595495,-73.72033861,New York,United States
4077160,2016-09-09,39.9847935141,-75.4854873475,Pennsylvania,United States
4089860,2016-09-11,35.9560861111,-82.1707305556,North Carolina,United States
4101635,2016-09-13,36.1306074355,-79.8480656092,North Carolina,United States
4106928,2016-09-13,41.29398173,-73.60797014,New York,United States
4106936,2016-09-13,41.29211844,-73.60691475,New York,United States
4109965,2016-09-14,41.26682373,-73.84577919,New York,United States
4109971,2016-09-14,41.26681381,-73.84615926,New York,United States
4112356,2016-09-14,36.1506271502,-84.4502656349,Tennessee,United States
4135975,2016-09-17,41.2727599,-81.54736229,Ohio,United States
4136080,2016-09-17,35.1918527778,-85.6759027778,Tennessee,United States
4139041,2016-09-18,37.636518851,-77.4767866452,Virginia,United States
4141960,2016-09-18,39.0413898602,-76.7262222525,Maryland,United States
4167996,2016-09-19,35.256325,-85.7875888889,Tennessee,United States
4169740,2016-09-21,39.395745,-76.662575,Maryland,United States
4169863,2016-09-20,35.2694055556,-85.7183083333,Tennessee,United States
4173639,2016-09-22,41.8499214901,-72.2937324644,Connecticut,United States
4177274,2016-09-22,38.9864415815,-76.8995074556,Maryland,United States
4178772,2016-09-22,35.944531071,-79.0274144244,North Carolina,United States
4182747,2016-09-23,41.29036972,-73.59932436,New York,United States
4189166,2016-09-24,36.0730482778,-78.7988719438,North Carolina,United States
4189540,2016-09-24,36.1308409972,-79.8470415921,North Carolina,United States
4189757,2016-09-24,36.13002405,-79.84823075,North Carolina,United States
4190235,2016-09-24,36.13070575,-79.84826957,North Carolina,United States
4190869,2016-09-24,36.1321679782,-79.8442572077,North Carolina,United States
4191232,2016-09-24,36.1321335,-79.84441246,North Carolina,United States
4192248,2016-09-24,36.1333376309,-79.8343725969,North Carolina,United States
4192807,2016-09-24,36.1332763601,-79.8343179893,North Carolina,United States
4200253,2016-09-25,40.475276947,-74.4222259521,New Jersey,United States
4206677,2016-09-19,43.485429,-73.213041,Vermont,United States
4225534,2016-09-28,41.29056828,-73.61017601,New York,United States
4225538,2016-09-28,41.29007939,-73.60931815,New York,United States
4225545,2016-09-28,41.29063836,-73.60866863,New York,United States
4225556,2016-09-28,41.28989732,-73.6062935,New York,United States
4239854,2016-09-30,35.93487748,-79.0388694,North Carolina,United States
4245326,2016-10-01,37.6552635525,-77.3453023285,Virginia,United States
4248592,2016-10-01,37.6177813874,-89.0746593475,Illinois,United States
4252922,2016-10-01,37.6594449198,-77.3472851515,Virginia,United States
4260796,2016-10-03,37.31032855,-76.69008088,Virginia,United States
4262917,2016-10-03,35.8944718307,-79.0747021046,North Carolina,United States
4265204,2016-10-01,41.272259,-81.569538,Ohio,United States
4268036,2016-10-04,39.2248218,-76.744548,Maryland,United States
4270476,2016-10-04,35.916825,-79.0638583333,North Carolina,United States
4270615,2016-10-04,42.438830277,-71.1259589252,Massachusetts,United States
4279585,2016-10-05,35.8956382145,-79.0564517678,North Carolina,United States
4291074,2016-10-07,39.2293157336,-76.7488378008,Maryland,United States
4291079,2016-10-07,39.2293709846,-76.7491429018,Maryland,United States
4291086,2016-10-07,39.2295210902,-76.7487782054,Maryland,United States
4291099,2016-10-07,39.2386658037,-76.7624995521,Maryland,United States
4291120,2016-10-07,39.2295705853,-76.7496134621,Maryland,United States
4291900,2016-10-07,39.4481447515,-80.1631624999,West Virginia,United States
4292322,2016-10-07,35.8348587295,-78.7803698984,North Carolina,United States
4299797,2016-10-07,35.9238966667,-79.0303333333,North Carolina,United States
4305097,2016-10-09,35.8959430224,-79.0637302772,North Carolina,United States
4307195,2016-10-02,36.369955,-79.080853,North Carolina,United States
4316137,2016-10-10,40.5191783333,-74.4435883333,New Jersey,United States
4328462,2016-10-11,35.9150838945,-79.0877021012,North Carolina,United States
4328864,2016-10-11,35.9162417706,-79.0893545096,North Carolina,United States
4329196,2016-10-11,35.9086538013,-79.0777428915,North Carolina,United States
4343125,2016-10-13,40.7302609552,-79.6970508714,Pennsylvania,United States
4348352,2016-10-10,40.52065,-74.444245,New Jersey,United States
4416291,2016-10-22,38.5507944057,-78.4327918214,Virginia,United States
4439913,2016-10-16,37.434047,-88.938992,Illinois,United States
4455889,2016-10-24,36.1889638889,-78.5573111111,North Carolina,United States
4486216,2016-10-25,40.475032,-74.43859,New Jersey,United States
4490220,2016-11-01,40.6557526904,-74.4026058912,New Jersey,United States
4496444,2016-11-04,40.6024719276,-74.532733261,New Jersey,United States
4501089,2016-11-05,36.7761497498,-76.162979126,Virginia,United States
4526789,2016-11-10,40.5919752452,-74.5559263229,New Jersey,United States
4528976,2016-11-10,39.9031533333,-79.4612883333,Pennsylvania,United States
4532890,2016-11-10,39.86387,-79.501495,Pennsylvania,United States
4534586,2016-07-16,35.0266383333,-85.5799983333,Tennessee,United States
4615593,2016-11-21,40.5891237069,-74.555969246,New Jersey,United States
4656503,2016-10-20,34.9992126607,-80.8220339916,North Carolina,United States
4719184,2016-12-04,40.6197672875,-74.5569992065,New Jersey,United States
4779983,2016-12-10,40.594386736,-74.5735859871,New Jersey,United States
4999347,2017-01-19,40.6855196041,-74.3005800247,New Jersey,United States
5012919,2016-05-23,34.1473286283,-82.0113945007,South Carolina,United States
5060325,2017-01-29,40.6542062055,-74.5029258728,New Jersey,United States
5110415,2016-08-29,39.571227,-76.505452,Maryland,United States
5120541,2016-07-22,40.613178719,-74.472874403,New Jersey,United States
5201357,2015-08-06,36.8625,-81.9508333333,Virginia,United States
5203927,2017-03-01,40.6234969925,-74.5569992065,New Jersey,United States
5218643,2017-03-03,40.611020394,-74.5390605927,New Jersey,United States
5232793,2017-03-05,40.5995190113,-74.6768188477,New Jersey,United States
5428783,2017-03-22,40.5939956894,-74.5580077171,New Jersey,United States
5648167,2017-04-11,35.8769635856,-79.0368044191,North Carolina,United States
5674652,2017-04-13,36.787032,-76.1779,Virginia,United States
5700221,2017-04-14,35.7897014357,-78.3012235165,North Carolina,United States
5719452,2017-04-15,36.1332118186,-79.8403642327,North Carolina,United States
5737187,2017-04-15,35.4656099947,-78.9033764229,North Carolina,United States
5757863,2017-04-16,35.9107010393,-78.4651941621,North Carolina,United States
5762616,2017-04-16,35.9706039429,-78.9642181396,North Carolina,United States
5767013,2017-04-16,36.0807305,-78.858575,North Carolina,United States
5785814,2017-04-17,35.92859089,-78.96616528,North Carolina,United States
5794687,2017-04-17,35.9702682495,-78.9642181396,North Carolina,United States
5803241,2017-04-17,35.67911561,-78.62919716,North Carolina,United States
5834233,2017-04-18,35.6836166382,-78.4688873291,North Carolina,United States
