observed_on,latitude,longitude,place_state_name
2020-06-11,33.98803667,-84.23758667,Georgia
2020-06-13,36.619605,-93.80407,Missouri
2020-06-14,42.11038883,-71.18245,Massachusetts
2020-06-17,39.6434570616,-79.9795251992,West Virginia
2020-06-17,40.6195556717,-74.494303885,New Jersey
2020-06-19,39.27649353,-76.96832346,Maryland
2020-06-19,41.9557459473,-72.211032224,Connecticut
2020-06-20,38.5646157,-82.6217906,Ohio
2020-06-20,40.26557167,-74.65016167,New Jersey
2020-06-21,38.5833595,-76.7509896,Maryland
2020-06-20,38.6625155574,-77.4263487943,Virginia
2020-06-21,38.38382167,-78.22793667,Virginia
2020-06-14,38.8971636553,-77.0626895522,District of Columbia
2020-06-21,36.2231636051,-85.800810241,Tennessee
2020-06-22,35.0068298341,-81.0035125725,South Carolina
2020-06-23,40.0033759,-74.8208808,New Jersey
2020-06-24,32.3440465651,-91.3933852908,Louisiana
2020-06-25,41.0066532,-74.1460653,New Jersey
2020-06-27,38.993575,-77.01475555,Maryland
2020-06-28,39.8873250552,-74.3792454802,New Jersey
2020-07-02,40.43596333,-74.40946167,New Jersey
2020-07-03,37.5078349,-77.9353057,Virginia
2020-07-01,34.6387493761,-92.8419937475,Arkansas
2020-07-03,42.7570403042,-77.33198273,New York
2020-07-05,35.8037622,-78.4874913,North Carolina
2020-07-05,35.9660238,-78.5789407,North Carolina
2020-07-06,39.0392242279,-76.5093470459,Maryland
2020-07-04,35.19757167,-82.42967915,North Carolina
2020-07-07,40.6077231963,-74.3834844965,New Jersey
2020-07-07,41.2771193332,-74.3081954336,New York
2020-07-08,41.4280220881,-73.1821462964,Connecticut
2020-07-09,41.1961424207,-73.4701468877,Connecticut
2020-07-09,41.265675,-72.7298055556,Connecticut
2020-07-11,39.4974702704,-76.5775550864,Maryland
2020-07-11,36.5677179443,-84.7908511107,Tennessee
2020-07-12,40.6076274911,-74.3835907501,New Jersey
2020-07-09,40.5834220181,-74.3842512872,New Jersey
2020-07-13,35.70435833,-94.31568,Arkansas
2020-07-16,41.1046196214,-73.837915128,New York
2020-07-18,38.6673900059,-77.7363384142,Virginia
2020-07-19,36.0318890283,-87.7638055992,Tennessee
2020-07-21,38.6871488022,-76.6226815748,Maryland
2020-07-20,40.6343750847,-74.6869573602,New Jersey
2020-07-21,39.1503231911,-84.417443946,Ohio
2020-07-22,41.0880673444,-74.4214745612,New Jersey
2020-07-22,39.1484856094,-84.2762117654,Ohio
2020-06-19,40.301425,-75.035859,Pennsylvania
2020-07-23,38.8255723,-76.54206062,Maryland
2020-07-24,36.0206713271,-78.8959933566,North Carolina
2020-07-24,36.0212197825,-78.8958230433,North Carolina
2020-07-25,36.0196810162,-78.8852402856,North Carolina
2020-07-25,36.0196795821,-78.8849373852,North Carolina
2020-07-25,36.0552526345,-78.837638434,North Carolina
2020-07-25,36.0553539497,-78.8369695006,North Carolina
2020-07-25,36.0198789126,-78.8851005368,North Carolina
2020-07-25,36.0556590618,-78.8415771493,North Carolina
2020-07-25,39.16206383,-86.04924717,Indiana
2020-07-26,36.0224054312,-78.8959288597,North Carolina
2020-07-26,36.01974751,-78.88472266,North Carolina
2020-07-27,41.2607380283,-73.6902110093,New York
2020-07-26,35.8171156,-78.7263642,North Carolina
2020-07-26,35.8104242,-78.7141926,North Carolina
2020-07-28,39.0283095232,-77.0415367094,Maryland
2020-07-29,38.7955717743,-77.0398447384,Virginia
2020-07-29,36.0589258606,-78.9653695655,North Carolina
2020-07-29,40.97061667,-75.19164167,Pennsylvania
2020-07-29,36.0547135352,-78.8382394799,North Carolina
2020-07-29,36.0550063569,-78.8382455149,North Carolina
2020-07-29,36.0557865445,-78.837980982,North Carolina
2020-07-29,35.9350121933,-79.0134483735,North Carolina
2020-07-29,35.98776667,-78.71652167,North Carolina
2020-07-29,36.058996059,-78.9659124614,North Carolina
2020-07-31,35.817422,-81.180358,North Carolina
2020-07-31,42.0889769595,-74.0232122606,New York
2020-07-31,36.01776745,-78.88185527,North Carolina
2020-07-31,36.01963215,-78.88380765,North Carolina
2020-07-31,36.01979409,-78.88500242,North Carolina
2020-08-01,36.0317631718,-78.9023829997,North Carolina
2020-08-01,39.4196246566,-76.5516823637,Maryland
2020-08-01,40.3472535778,-74.6316172556,New Jersey
2020-08-02,40.3433898138,-74.6839565412,New Jersey
2020-08-02,36.007313793,-78.9037352722,North Carolina
2020-08-01,34.16095,-85.61138833,Alabama
2020-08-03,35.4006934871,-80.8776866178,North Carolina
2020-08-03,42.0700076363,-71.6230436695,Massachusetts
2020-08-03,39.7186445449,-80.1159160716,West Virginia
2020-08-02,37.25801333,-76.69442833,Virginia
2020-08-01,37.0726767918,-87.663767839,Kentucky
2020-08-05,39.1195084015,-77.2874535342,Maryland
2020-08-05,41.97079424,-71.7427535488,Rhode Island
2020-08-07,40.9232177445,-75.4701285432,Pennsylvania
2020-08-08,41.2114151144,-73.5658545529,New York
2020-08-09,33.42680833,-85.01371112,Georgia
2020-08-09,39.1322840994,-77.2675390903,Maryland
2020-08-11,40.16553829,-75.18679633,Pennsylvania
2020-08-14,39.4026497849,-76.5769389644,Maryland
2020-08-16,33.943293267,-81.0436181166,South Carolina
2020-08-12,39.1003854974,-86.4022792876,Indiana
2020-08-16,35.8948523,-78.5790375,North Carolina
2020-08-16,35.9190316,-78.5994078,North Carolina
2020-08-19,41.1627794554,-73.4513975846,Connecticut
2020-08-20,40.3485347723,-76.9387791468,Pennsylvania
2020-08-20,33.7920043173,-82.152523005,South Carolina
2020-08-18,36.3456997393,-80.4696832225,North Carolina
2020-08-22,40.9698312856,-74.7156151506,New Jersey
2020-08-22,33.7993015478,-84.3399006948,Georgia
2020-08-22,35.1938271229,-78.0875282362,North Carolina
2020-08-22,36.0834833281,-79.0073152912,North Carolina
2020-08-21,35.936175,-78.79943833,North Carolina
2020-08-23,36.0550225046,-78.9717940203,North Carolina
2020-08-23,35.0642225658,-82.7763765784,South Carolina
2020-08-23,38.9664193726,-77.3241349993,Virginia
2020-08-24,40.951552558,-74.6887627663,New Jersey
2020-08-22,37.1883564248,-86.1009354517,Kentucky
2020-08-26,39.0375383338,-84.1283591465,Ohio
2020-08-26,35.6407445972,-85.1762858033,Tennessee
2020-08-27,39.06022399,-77.1335697335,Maryland
2020-08-29,39.3429984329,-82.0745786693,Ohio
2020-08-29,36.7494428558,-76.589929537,Virginia
2020-08-30,41.4818985248,-73.3675783966,Connecticut
2020-08-30,41.2239765051,-73.4381944289,Connecticut
2020-08-30,39.8275604099,-84.8996172008,Indiana
2020-08-30,36.73212833,-79.47614167,Virginia
2020-08-29,37.70166167,-89.18161667,Illinois
2020-08-30,35.6082973536,-82.5397620165,North Carolina
2020-08-30,36.0801425949,-79.0220506769,North Carolina
2020-07-24,34.108419,-84.301053,Georgia
2020-08-30,41.6619116857,-81.4177858857,Ohio
2020-08-19,39.13130283,-77.52723667,Virginia
2020-08-12,41.1116642581,-73.830605977,New York
2020-09-01,39.32432184,-82.1172899567,Ohio
2020-09-02,37.3147267565,-78.3872989565,Virginia
2020-09-02,39.1561499877,-76.7634872322,Maryland
2020-09-03,39.5997018,-76.8474109,Maryland
2020-09-03,36.0661407391,-86.7220334879,Tennessee
2020-09-03,39.6884493962,-75.8198224992,Maryland
2020-09-04,39.4568959491,-80.944868584,West Virginia
2020-09-04,40.574899902,-79.7099656776,Pennsylvania
2020-09-04,36.1297943036,-79.8454767796,North Carolina
2020-09-04,40.6869074819,-74.232623989,New Jersey
2020-09-04,35.6169237872,-83.0141604692,North Carolina
2020-09-05,35.8111018502,-78.8052475033,North Carolina
2020-09-04,42.0254155867,-74.2025503144,New York
2020-09-05,39.5081147581,-84.7228761811,Ohio
2020-09-04,38.17895833,-78.362755,Virginia
2020-09-06,36.79021006,-75.99369643,Virginia
2020-09-01,39.2461457728,-77.2877448052,Maryland
2020-09-07,39.69769667,-75.75438667,Delaware
2020-09-07,35.7804184962,-79.0601152795,North Carolina
2020-09-07,41.1088166667,-75.2581111111,Pennsylvania
2020-09-07,35.9982497321,-94.1350637376,Arkansas
2020-09-09,35.10625343,-80.7467770173,North Carolina
2020-09-10,34.95003782,-77.230771,North Carolina
2020-07-24,42.8111087831,-73.4592055902,New York
2020-09-12,38.7998333335,-77.0091545159,Maryland
2020-09-13,37.3769872289,-77.5885425167,Virginia
2020-09-13,40.9459674731,-73.8138001599,New York
2020-08-30,39.2306959386,-76.759185556,Maryland
2020-09-12,42.58940833,-81.63993,
2020-09-14,38.489541078,-90.3761283906,Missouri
2020-09-18,39.6645632862,-75.7454883841,Delaware
2020-09-18,39.6646675656,-75.7455040604,Delaware
2020-09-18,35.7795380811,-78.5237980001,North Carolina
2020-09-19,39.4104,-76.83905833,Maryland
2020-09-21,39.477599985,-76.4207823482,Maryland
2020-09-21,39.4784427854,-76.4179433976,Maryland
2020-09-21,39.8902289244,-75.1733307727,Pennsylvania
2020-09-24,40.06911383,-75.226975,Pennsylvania
2020-08-27,38.24876178,-80.44321918,West Virginia
2020-09-25,39.1788985099,-84.702321749,Ohio
2020-09-26,36.2755252,-80.3547653,North Carolina
2020-05-03,37.6181320986,-77.4330717512,Virginia
2020-09-20,39.5181186057,-84.7295575216,Ohio
2020-09-26,38.8510207044,-77.2284347556,Virginia
2020-09-03,33.2698883333,-88.7820883333,Mississippi
2020-10-12,40.3500638889,-82.9264222222,Ohio
2020-09-22,35.3827284789,-82.1969218087,North Carolina
2020-11-08,36.1536715203,-80.3117142095,North Carolina
2020-08-13,42.8503659927,-72.5771082786,Vermont
2020-08-13,42.8503345106,-72.5771009116,Vermont
2020-08-13,42.848696,-72.575752,Vermont
2020-07-11,40.441442151,-74.7192683166,New Jersey
2005-07-17,35.6221273306,-78.9309732903,North Carolina
2020-09-05,38.1729811508,-86.3154180362,Indiana
2021-04-30,39.0570675859,-77.0326006198,Maryland
2021-04-30,33.77478,-84.3269366667,Georgia
2021-04-30,38.4912004312,-76.5902833409,Maryland
2021-04-30,36.0682332,-78.9085424,North Carolina
2021-05-01,35.9662628174,-78.5828399658,North Carolina
2021-05-01,38.7123689779,-77.4247592545,Virginia
2021-05-01,40.5361607233,-74.2266490439,New York
2021-05-02,35.6939544678,-78.6998901367,North Carolina
2021-05-02,38.9658336449,-77.1569668755,Virginia
2021-05-02,35.79329925,-78.53219036,North Carolina
2021-05-02,35.985786438,-79.4617538452,North Carolina
2021-04-30,39.0767259793,-84.4156458601,Ohio
2021-05-03,39.9789616667,-75.4437466667,Pennsylvania
2021-05-03,40.3936463636,-74.9674438177,Pennsylvania
2021-05-02,39.0569695,-77.339675,Virginia
2021-05-03,38.422695,-77.2128216667,Maryland
2021-04-30,35.8758150072,-78.4318633357,North Carolina
2021-05-02,35.8917928592,-78.5829427768,North Carolina
2021-05-01,38.7153108328,-77.0560991752,Virginia
2021-05-07,40.5038227933,-80.3591255006,Pennsylvania
2021-05-08,40.6747917792,-75.2805600249,Pennsylvania
2021-05-09,40.2613716125,-74.6511611938,New Jersey
2021-05-10,40.8024116667,-74.29367,New Jersey
2021-05-13,39.1958916667,-76.8005133333,Maryland
2021-05-13,35.4825221205,-80.2740402949,North Carolina
2021-05-13,35.1115695,-85.174325,Tennessee
2021-05-14,39.4053283333,-76.5933083333,Maryland
2021-05-15,40.5773292547,-80.1849332798,Pennsylvania
2021-05-15,35.3562850952,-80.9091339111,North Carolina
2021-05-15,35.02675283,-85.579925,Tennessee
2021-05-16,38.6657535527,-77.2073300664,Virginia
2021-05-16,36.4264833333,-76.6978083333,North Carolina
2021-05-17,40.229855,-74.96145,Pennsylvania
2021-05-16,36.0044777833,-78.7025966667,North Carolina
2021-05-18,38.9674188507,-77.0424671844,District of Columbia
2021-05-19,36.793645,-87.9865033333,Kentucky
2021-05-18,38.8400012965,-76.9795803896,District of Columbia
2021-05-22,34.0536899664,-83.88485115,Georgia
2021-05-21,36.14,-85.5641555556,Tennessee
2021-05-22,40.6643060371,-74.8825932294,New Jersey
2021-05-22,35.8948523,-78.5790375,North Carolina
